Datetime,Water Level (m)
2024-06-11 12:00:00,0.53976524
2024-06-11 13:00:00,-0.009476401
2024-06-11 14:00:00,-0.42597756
2024-06-11 15:00:00,-0.7033803
2024-06-11 16:00:00,-0.79919684
2024-06-11 17:00:00,-0.55565345
2024-06-11 18:00:00,-0.0017530574
2024-06-11 19:00:00,0.5783373
2024-06-11 20:00:00,1.0140476
2024-06-11 21:00:00,1.2255439
2024-06-11 22:00:00,1.1499013
2024-06-11 23:00:00,0.7342527
2024-06-12 00:00:00,0.21017054
2024-06-12 01:00:00,-0.22988065
2024-06-12 02:00:00,-0.5455838
2024-06-12 03:00:00,-0.7302936
2024-06-12 04:00:00,-0.7175714
2024-06-12 05:00:00,-0.35118386
2024-06-12 06:00:00,0.23636639
2024-06-12 07:00:00,0.8115765
2024-06-12 08:00:00,1.2506251
2024-06-12 09:00:00,1.4798919
2024-06-12 10:00:00,1.4558891
2024-06-12 11:00:00,1.1992675
2024-06-12 12:00:00,0.74291646
2024-06-12 13:00:00,0.24743563
2024-06-12 14:00:00,-0.15583761
2024-06-12 15:00:00,-0.43595162
2024-06-12 16:00:00,-0.5838019
2024-06-12 17:00:00,-0.52500653
2024-06-12 18:00:00,-0.1846285
2024-06-12 19:00:00,0.32040393
2024-06-12 20:00:00,0.7859347
2024-06-12 21:00:00,1.0861983
2024-06-12 22:00:00,1.201327
2024-06-12 23:00:00,1.0411243
2024-06-13 00:00:00,0.65035206
2024-06-13 01:00:00,0.20854051
2024-06-13 02:00:00,-0.16124336
2024-06-13 03:00:00,-0.421774
2024-06-13 04:00:00,-0.5476951
2024-06-13 05:00:00,-0.4571042
2024-06-13 06:00:00,-0.053594287
2024-06-13 07:00:00,0.50066537
2024-06-13 08:00:00,0.9863134
2024-06-13 09:00:00,1.3324381
2024-06-13 10:00:00,1.4383147
2024-06-13 11:00:00,1.3573041
2024-06-13 12:00:00,1.045088
2024-06-13 13:00:00,0.613653
2024-06-13 14:00:00,0.17618471
2024-06-13 15:00:00,-0.17954576
2024-06-13 16:00:00,-0.43138558
2024-06-13 17:00:00,-0.53359795
2024-06-13 18:00:00,-0.3828696
2024-06-13 19:00:00,0.027721249
2024-06-13 20:00:00,0.51529664
2024-06-13 21:00:00,0.9155435
2024-06-13 22:00:00,1.153913
2024-06-13 23:00:00,1.2002281
2024-06-14 00:00:00,0.9863095
2024-06-14 01:00:00,0.6054443
2024-06-14 02:00:00,0.22880709
2024-06-14 03:00:00,-0.06608446
2024-06-14 04:00:00,-0.26521164
2024-06-14 05:00:00,-0.34200764
2024-06-14 06:00:00,-0.21507932
2024-06-14 07:00:00,0.15477891
2024-06-14 08:00:00,0.6307937
2024-06-14 09:00:00,1.0278877
2024-06-14 10:00:00,1.2985845
2024-06-14 11:00:00,1.3315681
2024-06-14 12:00:00,1.1845418
2024-06-14 13:00:00,0.84789526
2024-06-14 14:00:00,0.4538672
2024-06-14 15:00:00,0.09013864
2024-06-14 16:00:00,-0.1845082
2024-06-14 17:00:00,-0.37746888
2024-06-14 18:00:00,-0.46488476
2024-06-14 19:00:00,-0.36756408
2024-06-14 20:00:00,-0.030905783
2024-06-14 21:00:00,0.43649346
2024-06-14 22:00:00,0.8713815
2024-06-14 23:00:00,1.147717
2024-06-15 00:00:00,1.2464825
2024-06-15 01:00:00,1.1034516
2024-06-15 02:00:00,0.76836765
2024-06-15 03:00:00,0.40700707
2024-06-15 04:00:00,0.10905547
2024-06-15 05:00:00,-0.10821584
2024-06-15 06:00:00,-0.20150523
2024-06-15 07:00:00,-0.111267254
2024-06-15 08:00:00,0.1917363
2024-06-15 09:00:00,0.62981516
2024-06-15 10:00:00,1.0214345
2024-06-15 11:00:00,1.2942308
2024-06-15 12:00:00,1.3273907
2024-06-15 13:00:00,1.1946027
2024-06-15 14:00:00,0.8760723
2024-06-15 15:00:00,0.5016244
2024-06-15 16:00:00,0.15714963
2024-06-15 17:00:00,-0.123819314
2024-06-15 18:00:00,-0.3308871
2024-06-15 19:00:00,-0.42379764
2024-06-15 20:00:00,-0.34239462
2024-06-15 21:00:00,-0.02289603
2024-06-15 22:00:00,0.46252525
2024-06-15 23:00:00,0.91735977
2024-06-16 00:00:00,1.2137784
2024-06-16 01:00:00,1.332308
2024-06-16 02:00:00,1.1649143
2024-06-16 03:00:00,0.8855859
2024-06-16 04:00:00,0.5383906
2024-06-16 05:00:00,0.20594433
2024-06-16 06:00:00,-0.040531974
2024-06-16 07:00:00,-0.18123516
2024-06-16 08:00:00,-0.15648958
2024-06-16 09:00:00,0.10408218
2024-06-16 10:00:00,0.5281229
2024-06-16 11:00:00,0.94215196
2024-06-16 12:00:00,1.2364991
2024-06-16 13:00:00,1.3336929
2024-06-16 14:00:00,1.2434686
2024-06-16 15:00:00,0.95586836
2024-06-16 16:00:00,0.5804207
2024-06-16 17:00:00,0.21164353
2024-06-16 18:00:00,-0.09635481
2024-06-16 19:00:00,-0.34365788
2024-06-16 20:00:00,-0.485356
2024-06-16 21:00:00,-0.4521799
2024-06-16 22:00:00,-0.11980431
2024-06-16 23:00:00,0.42278698
2024-06-17 00:00:00,0.94502956
2024-06-17 01:00:00,1.290814
2024-06-17 02:00:00,1.3762293
2024-06-17 03:00:00,1.2683423
2024-06-17 04:00:00,0.94369256
2024-06-17 05:00:00,0.5451722
2024-06-17 06:00:00,0.16668522
2024-06-17 07:00:00,-0.12230161
2024-06-17 08:00:00,-0.28984603
2024-06-17 09:00:00,-0.29749453
2024-06-17 10:00:00,-0.06413535
2024-06-17 11:00:00,0.37867492
2024-06-17 12:00:00,0.8548635
